epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,42.7202,0.94937,1.06221,1.09614,0.74551,0.74967,0.82839,0.61292,0.90537,1.03251,1.15282,0.00134129,0.00134129,0.00134129
64,43.7069,0.82763,0.91052,0.99836,0.87166,0.75135,0.85226,0.64042,0.86682,0.98285,1.14687,0.00133987,0.00133987,0.00133987
65,44.3631,0.94323,1.27105,1.18436,0.87166,0.75135,0.85226,0.64042,0.86682,0.98285,1.14687,0.00133846,0.00133846,0.00133846
66,45.0523,0.89199,1.01507,1.07328,0.71089,0.88057,0.84483,0.63868,0.91583,0.93909,1.1685,0.00133704,0.00133704,0.00133704
67,45.7171,1.0425,1.14505,1.33411,0.87717,0.79039,0.841,0.62262,0.96535,1.03589,1.20325,0.00133563,0.00133563,0.00133563
68,46.3901,0.97718,1.0297,1.062,0.83746,0.76667,0.82546,0.59968,0.97109,1.10607,1.21689,0.00133421,0.00133421,0.00133421
69,47.0508,0.82075,1.9488,1.12032,0.83746,0.76667,0.82546,0.59968,0.97109,1.10607,1.21689,0.0013328,0.0013328,0.0013328
70,47.7066,0.94302,1.00085,1.17466,0.55322,0.7,0.67984,0.51536,0.93342,1.39622,1.19714,0.00133139,0.00133139,0.00133139
71,48.3742,1.00375,1.32146,1.16743,0.2781,0.61188,0.44098,0.35013,0.95665,2.1361,1.20973,0.00132997,0.00132997,0.00132997
72,49.0243,0.79441,0.93326,1.02736,0.38896,0.53986,0.6297,0.49558,0.94406,1.58156,1.20895,0.00132856,0.00132856,0.00132856
73,49.6712,0.86094,0.94444,1.08451,0.38896,0.53986,0.6297,0.49558,0.94406,1.58156,1.20895,0.00132714,0.00132714,0.00132714
74,50.3208,0.79453,0.88801,1.01765,0.82667,0.76667,0.79762,0.61514,0.88694,1.10214,1.18433,0.00132573,0.00132573,0.00132573
75,50.9639,0.86976,0.94722,1.03182,0.73824,0.77341,0.77966,0.61449,0.87536,0.97342,1.19969,0.00132431,0.00132431,0.00132431
76,51.6188,0.77763,0.86909,1.02275,0.82543,0.8,0.82352,0.62874,0.92312,0.97512,1.19137,0.0013229,0.0013229,0.0013229
77,52.43,0.87792,1.07171,1.21663,0.82543,0.8,0.82352,0.62874,0.92312,0.97512,1.19137,0.00132148,0.00132148,0.00132148
78,53.0715,0.76376,0.7599,1.00147,0.83475,0.76667,0.84634,0.65073,0.89936,0.97512,1.18378,0.00132007,0.00132007,0.00132007
79,53.7465,0.78409,0.91415,1.00344,0.85986,0.78155,0.83863,0.66723,0.86578,0.9107,1.16457,0.00131865,0.00131865,0.00131865
80,54.4454,0.90203,1.1431,1.19153,0.67307,0.78636,0.84735,0.66376,0.82742,0.87502,1.14087,0.00131724,0.00131724,0.00131724
81,55.0918,0.69609,0.84006,0.9501,0.67307,0.78636,0.84735,0.66376,0.82742,0.87502,1.14087,0.00131582,0.00131582,0.00131582
82,55.7544,0.85325,0.91537,1.08321,0.98235,0.6625,0.85202,0.66987,0.85106,0.88311,1.14204,0.00131441,0.00131441,0.00131441
83,56.4441,0.95988,1.00639,1.10885,0.77702,0.81617,0.91404,0.71044,0.93866,0.88718,1.19007,0.00131299,0.00131299,0.00131299
84,57.1151,0.85407,0.92256,1.09335,0.904,0.86863,0.93247,0.71702,0.88525,0.83095,1.16436,0.00131158,0.00131158,0.00131158
85,57.7853,0.97295,0.90634,1.15126,0.904,0.86863,0.93247,0.71702,0.88525,0.83095,1.16436,0.00131016,0.00131016,0.00131016
86,58.4789,0.7506,0.81336,1.01308,0.94428,0.86561,0.92176,0.72846,0.80478,0.77291,1.13085,0.00130875,0.00130875,0.00130875
87,59.1521,0.88728,1.09412,1.12591,0.86814,0.86667,0.88049,0.69796,0.8417,0.76295,1.13486,0.00130733,0.00130733,0.00130733
88,59.8134,0.73596,0.84665,1.00796,0.81435,0.86667,0.85546,0.6629,0.91673,0.84277,1.17817,0.00130592,0.00130592,0.00130592
89,60.624,0.81658,0.93795,1.08153,0.81435,0.86667,0.85546,0.6629,0.91673,0.84277,1.17817,0.00130451,0.00130451,0.00130451
90,61.2873,0.78042,0.82372,1.05917,0.77916,0.83488,0.84697,0.63193,0.92755,0.85591,1.21316,0.00130309,0.00130309,0.00130309
91,61.9333,0.80421,0.92823,1.01685,0.89604,0.77751,0.87152,0.65139,0.87315,0.83665,1.21284,0.00130168,0.00130168,0.00130168
92,62.5898,0.80824,0.89974,1.02245,0.79672,0.82198,0.88674,0.69187,0.85916,0.83327,1.2369,0.00130026,0.00130026,0.00130026
93,63.2256,0.80141,0.82652,1.02427,0.79672,0.82198,0.88674,0.69187,0.85916,0.83327,1.2369,0.00129885,0.00129885,0.00129885
94,63.8742,1.2842,1.90054,1.15057,0.93853,0.72275,0.89834,0.69025,0.85288,0.80689,1.21099,0.00129743,0.00129743,0.00129743
95,64.5253,0.71325,0.80751,1.0674,0.9433,0.72951,0.86088,0.66577,0.90683,0.83785,1.18864,0.00129602,0.00129602,0.00129602
96,65.1688,0.84891,0.80644,1.01629,0.935,0.73333,0.8467,0.675,0.84868,0.77074,1.15198,0.0012946,0.0012946,0.0012946
97,65.8074,0.88033,0.91141,1.10915,0.935,0.73333,0.8467,0.675,0.84868,0.77074,1.15198,0.00129319,0.00129319,0.00129319
98,66.4587,0.82931,0.93107,1.11633,0.81227,0.9,0.9024,0.71368,0.8203,0.75958,1.13757,0.00129177,0.00129177,0.00129177
99,67.1091,0.81888,0.84954,1.05122,0.86482,0.83333,0.91316,0.73376,0.78633,0.81363,1.11107,0.00129036,0.00129036,0.00129036
100,67.7803,0.8826,0.97236,1.03952,0.77999,0.87954,0.90427,0.70605,0.79786,0.72228,1.14112,0.00128894,0.00128894,0.00128894
101,68.4196,0.86019,0.80828,1.1107,0.77999,0.87954,0.90427,0.70605,0.79786,0.72228,1.14112,0.00128753,0.00128753,0.00128753
102,69.2255,0.97,0.82945,1.10586,0.78204,0.93333,0.91155,0.69461,0.85305,0.66461,1.18899,0.00128611,0.00128611,0.00128611
103,69.8686,0.79128,0.69115,0.97248,0.8767,0.92383,0.94972,0.73016,0.84369,0.66294,1.15732,0.0012847,0.0012847,0.0012847
104,70.545,0.74132,0.77252,1.02734,0.88702,0.93333,0.93525,0.7165,0.8706,0.68319,1.16075,0.00128328,0.00128328,0.00128328
105,71.1834,0.80552,0.78955,1.06677,0.88702,0.93333,0.93525,0.7165,0.8706,0.68319,1.16075,0.00128187,0.00128187,0.00128187
